modalities,position,ratio,seeds,baseline_accuracy,augmented_accuracy,delta_accuracy,baseline_macro_f1,augmented_macro_f1,delta_macro_f1,baseline_mae,augmented_mae,delta_mae,baseline_pearson,augmented_pearson,delta_pearson
AV,back,0.3,3,0.6314102564102564,0.6227106227106227,-0.008699633699633669,0.6053961393998033,0.6031998125134469,-0.0021963268863564034,0.6112510561943054,0.5992342233657837,-0.012016832828521729,0.6306000017632709,0.6228662730758203,-0.007733728687450592
AV,back,0.5,3,0.6323260073260073,0.6217948717948718,-0.010531135531135494,0.6062145442363215,0.6018711908635221,-0.004343353372799341,0.6098683873812357,0.598267654577891,-0.011600732803344727,0.6310727722040785,0.6235508926732245,-0.0075218795308540365
AV,front,0.1,3,0.6309523809523809,0.6240842490842491,-0.006868131868131844,0.6066607445728118,0.6058150018214828,-0.0008457427513289817,0.6105767885843912,0.6012502511342367,-0.009326537450154548,0.6309919937626114,0.6227946692653515,-0.00819732449725985
AV,front,0.3,3,0.6282051282051282,0.6208791208791209,-0.0073260073260073,0.6039737741097141,0.6031782804738263,-0.0007954936358878228,0.6140698194503784,0.6055871645609537,-0.008482654889424679,0.6269112603994176,0.6187934909706725,-0.008117769428745092
AV,front,0.5,3,0.6204212454212454,0.6130952380952381,-0.0073260073260073,0.5951714135715473,0.5953457282858536,0.00017431471430628953,0.6157487233479818,0.6066461404164633,-0.009102582931518555,0.6256802301883864,0.6183835176810206,-0.0072967125073657435
AV,middle,0.1,3,0.6318681318681318,0.6227106227106227,-0.009157509157509125,0.6074353767439401,0.6044846105942123,-0.0029507661497277793,0.6080044110616049,0.5974062283833822,-0.010598182678222656,0.6336241528654483,0.6260451626588525,-0.007578990206595804
AV,middle,0.3,3,0.6323260073260073,0.6204212454212454,-0.011904761904761862,0.6065562567930376,0.6016477765484478,-0.004908480244589786,0.6073928276697794,0.5962507724761963,-0.011142055193583134,0.6343204787635918,0.6272713591983896,-0.0070491195652021554
AV,middle,0.5,3,0.6268315018315018,0.6213369963369964,-0.005494505494505475,0.6000059900195576,0.6017599245084512,0.0017539344888936048,0.6069148580233256,0.5963491002718607,-0.010565757751464844,0.6342630379720979,0.6270335756322152,-0.007229462339882753
T,back,0.1,3,0.5801282051282052,0.5837912087912088,0.00366300366300365,0.5571134661166919,0.560680204052002,0.003566737935310149,0.6283716559410095,0.6266055901845297,-0.001766065756479862,0.5937963020196415,0.5843018354297659,-0.009494466589875628
T,back,0.3,3,0.5718864468864469,0.5737179487179487,0.001831501831501825,0.5522236370423949,0.5513359407890606,-0.0008876962533342914,0.6339938044548035,0.6383251746495565,0.004331370194753048,0.5872345372096899,0.5728560158419373,-0.014378521367752528
T,back,0.5,3,0.5434981684981685,0.5595238095238095,0.01602564102564108,0.5239885458866206,0.5396968741507783,0.01570832826415769,0.665079673131307,0.6703800757726034,0.005300402641296387,0.5201515687450773,0.5128323519630036,-0.007319216782073701
T,front,0.1,3,0.5956959706959707,0.6021062271062271,0.0064102564102563875,0.5766118693579517,0.5809560416854124,0.004344172327460649,0.6181537508964539,0.617475430170695,-0.0006783207257589075,0.6115224236866558,0.6043310659550569,-0.007191357731598846
T,front,0.3,3,0.565018315018315,0.5714285714285714,0.0064102564102563875,0.5511947994553121,0.5542255489806573,0.003030749525345211,0.6459249258041382,0.6500062545140585,0.004081328709920284,0.5414168590690606,0.5314651698065956,-0.009951689262464924
